run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_ftp	sample_alias
ERR10493030	SAMEA112135574	ERX10011320	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/030/ERR10493030/ERR10493030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/030/ERR10493030/ERR10493030_2.fastq.gz	long_indv337_normal
ERR10493031	SAMEA112135573	ERX10011321	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/031/ERR10493031/ERR10493031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/031/ERR10493031/ERR10493031_2.fastq.gz	long_indv337_tumor
ERR10493033	SAMEA112135575	ERX10011323	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/033/ERR10493033/ERR10493033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/033/ERR10493033/ERR10493033_2.fastq.gz	long_indv342_tumor
ERR10493034	SAMEA112135578	ERX10011324	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/034/ERR10493034/ERR10493034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/034/ERR10493034/ERR10493034_2.fastq.gz	long_indv345_normal
ERR10493039	SAMEA112135587	ERX10011329	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/039/ERR10493039/ERR10493039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/039/ERR10493039/ERR10493039_2.fastq.gz	long_indv358_tumor
ERR10493041	SAMEA112135595	ERX10011331	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/041/ERR10493041/ERR10493041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/041/ERR10493041/ERR10493041_2.fastq.gz	long_indv368_tumor
ERR10493046	SAMEA112135605	ERX10011336	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/046/ERR10493046/ERR10493046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/046/ERR10493046/ERR10493046_2.fastq.gz	long_indv38_tumor
ERR10493050	SAMEA112135614	ERX10011341	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/050/ERR10493050/ERR10493050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/050/ERR10493050/ERR10493050_2.fastq.gz	long_indv393_normal
ERR10493051	SAMEA112135613	ERX10011342	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/051/ERR10493051/ERR10493051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/051/ERR10493051/ERR10493051_2.fastq.gz	long_indv393_tumor
ERR10493060	SAMEA112135628	ERX10011351	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/060/ERR10493060/ERR10493060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/060/ERR10493060/ERR10493060_2.fastq.gz	long_indv47_normal
ERR10493067	SAMEA112135635	ERX10011358	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/067/ERR10493067/ERR10493067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/067/ERR10493067/ERR10493067_2.fastq.gz	long_indv498_tumor
ERR10493069	SAMEA112135637	ERX10011360	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/069/ERR10493069/ERR10493069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/069/ERR10493069/ERR10493069_2.fastq.gz	long_indv507_tumor
ERR10493071	SAMEA112135640	ERX10011362	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/071/ERR10493071/ERR10493071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/071/ERR10493071/ERR10493071_2.fastq.gz	long_indv512_normal
ERR10493073	SAMEA112135642	ERX10011364	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/073/ERR10493073/ERR10493073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/073/ERR10493073/ERR10493073_2.fastq.gz	long_indv540_normal
ERR10493079	SAMEA112135446	ERX10011370	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/079/ERR10493079/ERR10493079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/079/ERR10493079/ERR10493079_2.fastq.gz	short_indv145_normal
ERR10493086	SAMEA112135459	ERX10011377	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/086/ERR10493086/ERR10493086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/086/ERR10493086/ERR10493086_2.fastq.gz	short_indv165_tumor
ERR10493092	SAMEA112135471	ERX10011383	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/092/ERR10493092/ERR10493092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/092/ERR10493092/ERR10493092_2.fastq.gz	short_indv178_tumor
ERR10493094	SAMEA112135473	ERX10011385	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/094/ERR10493094/ERR10493094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/094/ERR10493094/ERR10493094_2.fastq.gz	short_indv179_tumor
ERR10493096	SAMEA112135483	ERX10011387	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/096/ERR10493096/ERR10493096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/096/ERR10493096/ERR10493096_2.fastq.gz	short_indv191_tumor
ERR10493097	SAMEA112135486	ERX10011388	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/097/ERR10493097/ERR10493097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/097/ERR10493097/ERR10493097_2.fastq.gz	short_indv193_normal
ERR10493101	SAMEA112135496	ERX10011392	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR10493101/ERR10493101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR10493101/ERR10493101_2.fastq.gz	short_indv216_normal
ERR10493102	SAMEA112135495	ERX10011393	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR10493102/ERR10493102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR10493102/ERR10493102_2.fastq.gz	short_indv216_tumor
ERR10493111	SAMEA112135505	ERX10011402	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/011/ERR10493111/ERR10493111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/011/ERR10493111/ERR10493111_2.fastq.gz	short_indv246_tumor
ERR10493116	SAMEA112135510	ERX10011408	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/016/ERR10493116/ERR10493116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/016/ERR10493116/ERR10493116_2.fastq.gz	short_indv248_normal
ERR10493124	SAMEA112135522	ERX10011416	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/024/ERR10493124/ERR10493124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/024/ERR10493124/ERR10493124_2.fastq.gz	short_indv264_normal
ERR10493126	SAMEA112135524	ERX10011418	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/026/ERR10493126/ERR10493126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/026/ERR10493126/ERR10493126_2.fastq.gz	short_indv265_normal
ERR10493138	SAMEA112135552	ERX10011430	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/038/ERR10493138/ERR10493138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/038/ERR10493138/ERR10493138_2.fastq.gz	short_indv304_normal
ERR10493139	SAMEA112135551	ERX10011431	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/039/ERR10493139/ERR10493139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/039/ERR10493139/ERR10493139_2.fastq.gz	short_indv304_tumor
ERR10493140	SAMEA112135554	ERX10011432	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/040/ERR10493140/ERR10493140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/040/ERR10493140/ERR10493140_2.fastq.gz	short_indv305_normal
ERR10493143	SAMEA112135559	ERX10011435	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/043/ERR10493143/ERR10493143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/043/ERR10493143/ERR10493143_2.fastq.gz	short_indv311_tumor
ERR10493154	SAMEA112135566	ERX10011446	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/054/ERR10493154/ERR10493154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/054/ERR10493154/ERR10493154_2.fastq.gz	short_indv33_normal
ERR10493155	SAMEA112135565	ERX10011447	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/055/ERR10493155/ERR10493155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/055/ERR10493155/ERR10493155_2.fastq.gz	short_indv33_tumor
ERR10493159	SAMEA112135583	ERX10011451	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/059/ERR10493159/ERR10493159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/059/ERR10493159/ERR10493159_2.fastq.gz	short_indv355_tumor
ERR10493161	SAMEA112135585	ERX10011453	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/061/ERR10493161/ERR10493161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/061/ERR10493161/ERR10493161_2.fastq.gz	short_indv357_tumor
ERR10493162	SAMEA112135590	ERX10011454	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/062/ERR10493162/ERR10493162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/062/ERR10493162/ERR10493162_2.fastq.gz	short_indv359_normal
ERR10493163	SAMEA112135589	ERX10011455	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/063/ERR10493163/ERR10493163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/063/ERR10493163/ERR10493163_2.fastq.gz	short_indv359_tumor
ERR10493166	SAMEA112135591	ERX10011458	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/066/ERR10493166/ERR10493166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/066/ERR10493166/ERR10493166_2.fastq.gz	short_indv361_tumor
ERR10493167	SAMEA112135594	ERX10011459	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/067/ERR10493167/ERR10493167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/067/ERR10493167/ERR10493167_2.fastq.gz	short_indv366_normal
ERR10493172	SAMEA112135599	ERX10011464	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/072/ERR10493172/ERR10493172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/072/ERR10493172/ERR10493172_2.fastq.gz	short_indv374_tumor
ERR10493173	SAMEA112135602	ERX10011465	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/073/ERR10493173/ERR10493173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/073/ERR10493173/ERR10493173_2.fastq.gz	short_indv375_normal
ERR10493174	SAMEA112135601	ERX10011466	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/074/ERR10493174/ERR10493174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/074/ERR10493174/ERR10493174_2.fastq.gz	short_indv375_tumor
ERR10493177	SAMEA112135610	ERX10011469	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/077/ERR10493177/ERR10493177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/077/ERR10493177/ERR10493177_2.fastq.gz	short_indv387_normal
ERR10493179	SAMEA112135616	ERX10011471	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/079/ERR10493179/ERR10493179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/079/ERR10493179/ERR10493179_2.fastq.gz	short_indv395_normal
ERR10493186	SAMEA112135623	ERX10011478	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/086/ERR10493186/ERR10493186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/086/ERR10493186/ERR10493186_2.fastq.gz	short_indv412_tumor
ERR10493198	SAMEA112135453	ERX10011490	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/098/ERR10493198/ERR10493198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/098/ERR10493198/ERR10493198_2.fastq.gz	long_indv160_tumor
ERR10493200	SAMEA112135455	ERX10011492	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10493200/ERR10493200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10493200/ERR10493200_2.fastq.gz	long_indv163_tumor
ERR10493202	SAMEA112135457	ERX10011494	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR10493202/ERR10493202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR10493202/ERR10493202_2.fastq.gz	long_indv164_tumor
ERR10493204	SAMEA112135461	ERX10011496	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR10493204/ERR10493204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR10493204/ERR10493204_2.fastq.gz	long_indv166_tumor
ERR10493207	SAMEA112135466	ERX10011499	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR10493207/ERR10493207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR10493207/ERR10493207_2.fastq.gz	long_indv170_normal
ERR10493209	SAMEA112135476	ERX10011501	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR10493209/ERR10493209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR10493209/ERR10493209_2.fastq.gz	long_indv180_normal
ERR10492989	SAMEA112135477	ERX10011278	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/089/ERR10492989/ERR10492989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/089/ERR10492989/ERR10492989_2.fastq.gz	long_indv182_tumor
ERR10492992	SAMEA112135482	ERX10011281	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/092/ERR10492992/ERR10492992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/092/ERR10492992/ERR10492992_2.fastq.gz	long_indv190_normal
ERR10492993	SAMEA112135481	ERX10011282	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/093/ERR10492993/ERR10492993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/093/ERR10492993/ERR10492993_2.fastq.gz	long_indv190_tumor
ERR10492997	SAMEA112135489	ERX10011286	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/097/ERR10492997/ERR10492997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/097/ERR10492997/ERR10492997_2.fastq.gz	long_indv198_tumor
ERR10492998	SAMEA112135494	ERX10011287	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/098/ERR10492998/ERR10492998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/098/ERR10492998/ERR10492998_2.fastq.gz	long_indv200_normal
ERR10492999	SAMEA112135493	ERX10011288	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/099/ERR10492999/ERR10492999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/099/ERR10492999/ERR10492999_2.fastq.gz	long_indv200_tumor
ERR10493000	SAMEA112135504	ERX10011289	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10493000/ERR10493000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10493000/ERR10493000_2.fastq.gz	long_indv243_normal
ERR10493005	SAMEA112135515	ERX10011295	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR10493005/ERR10493005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR10493005/ERR10493005_2.fastq.gz	long_indv257_tumor
ERR10493008	SAMEA112135530	ERX10011298	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR10493008/ERR10493008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR10493008/ERR10493008_2.fastq.gz	long_indv274_normal
ERR10493009	SAMEA112135529	ERX10011299	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR10493009/ERR10493009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR10493009/ERR10493009_2.fastq.gz	long_indv274_tumor
ERR10493010	SAMEA112135532	ERX10011300	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/010/ERR10493010/ERR10493010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/010/ERR10493010/ERR10493010_2.fastq.gz	long_indv275_normal
ERR10493012	SAMEA112135536	ERX10011302	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/012/ERR10493012/ERR10493012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/012/ERR10493012/ERR10493012_2.fastq.gz	long_indv281_normal
ERR10493018	SAMEA112135546	ERX10011308	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/018/ERR10493018/ERR10493018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/018/ERR10493018/ERR10493018_2.fastq.gz	long_indv293_normal
ERR10493019	SAMEA112135545	ERX10011309	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/019/ERR10493019/ERR10493019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/019/ERR10493019/ERR10493019_2.fastq.gz	long_indv293_tumor
ERR10493023	SAMEA112135549	ERX10011313	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/023/ERR10493023/ERR10493023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/023/ERR10493023/ERR10493023_2.fastq.gz	long_indv298_tumor
ERR10493027	SAMEA112135557	ERX10011317	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10493027/ERR10493027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10493027/ERR10493027_2.fastq.gz	long_indv310_tumor
ERR10493036	SAMEA112135580	ERX10011326	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/036/ERR10493036/ERR10493036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/036/ERR10493036/ERR10493036_2.fastq.gz	long_indv346_normal
ERR10493037	SAMEA112135579	ERX10011327	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/037/ERR10493037/ERR10493037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/037/ERR10493037/ERR10493037_2.fastq.gz	long_indv346_tumor
ERR10493042	SAMEA112135604	ERX10011332	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/042/ERR10493042/ERR10493042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/042/ERR10493042/ERR10493042_2.fastq.gz	long_indv379_normal
ERR10493043	SAMEA112135603	ERX10011333	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/043/ERR10493043/ERR10493043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/043/ERR10493043/ERR10493043_2.fastq.gz	long_indv379_tumor
ERR10493047	SAMEA112135612	ERX10011338	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/047/ERR10493047/ERR10493047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/047/ERR10493047/ERR10493047_2.fastq.gz	long_indv391_normal
ERR10493049	SAMEA112135611	ERX10011340	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/049/ERR10493049/ERR10493049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/049/ERR10493049/ERR10493049_2.fastq.gz	long_indv391_tumor
ERR10493052	SAMEA112135622	ERX10011343	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/052/ERR10493052/ERR10493052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/052/ERR10493052/ERR10493052_2.fastq.gz	long_indv408_normal
ERR10493056	SAMEA112135626	ERX10011347	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/056/ERR10493056/ERR10493056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/056/ERR10493056/ERR10493056_2.fastq.gz	long_indv422_normal
ERR10493057	SAMEA112135625	ERX10011348	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/057/ERR10493057/ERR10493057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/057/ERR10493057/ERR10493057_2.fastq.gz	long_indv422_tumor
ERR10493059	SAMEA112135629	ERX10011350	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/059/ERR10493059/ERR10493059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/059/ERR10493059/ERR10493059_2.fastq.gz	long_indv474_tumor
